"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"2363",IPHONE 17 PRO 256GB,IPHONE 17 PRO 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2372",IPHONE 17 256GB,IPHONE 17 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2360",IPHONE 17 PRO MAX 256GB,IPHONE 17 PRO MAX 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2362",IPHONE 17 PRO 256GB,IPHONE 17 PRO 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2358",IPHONE 17 PRO MAX 512GB,IPHONE 17 PRO MAX 512GB,APPLE,FLAGSHIP,ACTIVE
PA,"2364",IPHONE 17 PRO 256GB,IPHONE 17 PRO 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2359",IPHONE 17 PRO MAX 256GB,IPHONE 17 PRO MAX 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2374",SAMSUNG A17 5G 6GB+128GB,SAMSUNG A17 5G 6GB+128GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2351",OPPO A5M 8GB+256GB,OPPO A5M 8GB+256GB,OPPO,MID,ACTIVE
PA,"2365",IPHONE AIR 256GB,IPHONE AIR 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2357",IPHONE 17 PRO MAX 512GB,IPHONE 17 PRO MAX 512GB,APPLE,FLAGSHIP,ACTIVE
PA,"2353",SAMSUNG A56 5G 12GB+256GB,SAMSUNG A56 5G 12GB+256GB,SAMSUNG,HIGH,ACTIVE
PA,"2361",IPHONE 17 PRO MAX 256GB,IPHONE 17 PRO MAX 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2368",SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2350",HONOR X6C 6GB+256GB,HONOR X6C 6GB+256GB,HONOR,MID,ACTIVE
PA,"2366",IPHONE AIR 256GB,IPHONE AIR 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2369",IPHONE 17 256GB,IPHONE 17 256GB BLACK-BES,APPLE,FLAGSHIP,ACTIVO
PA,"2375",SAMSUNG A17 5G 6GB+128GB,SAMSUNG A17 5G 6GB+128GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"2354",SAMSUNG S25 PLUS 12GB+512GB,SAMSUNG S25 PLUS 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"126",SAMSUNG A07 4GB+128GB,SAMSUNG A07 4GB+128GB,SAMSUNG,MID,ACTIVE
PA,"2371",IPHONE 17 256GB,IPHONE 17 256GB,APPLE,FLAGSHIP,ACTIVE
PA,"2373",SAMSUNG A17 5G 6GB+128GB,SAMSUNG A17 5G 6GB+128GB,SAMSUNG,MIDHIGH,ACTIVE
PA,"2356",IPHONE 17 PRO MAX 512GB,IPHONE 17 PRO MAX 512GB,APPLE,FLAGSHIP,ACTIVE
PA,"2367",SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG Z FLIP7 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"740",IPHONE 14 PLUS 128GB,IPHONE 14 PLUS 128GB,APPLE,FLAGSHIP,EOL
PA,"149",SAMSUNG Z FOLD7 5G 12GB+512GB,SAMSUNG Z FOLD7 5G 12GB+512GB,SAMSUNG,FLAGSHIP,ACTIVE
PA,"673",IPHONE 13 128GB,IPHONE 13 128GB,APPLE,HIGH,EOL
PA,"519",SAMSUNG GALAXY A13 4+64GB,SAMSUNG GALAXY A13 4+64GB,SAMSUNG,MID,EOL
PA,"1398",SAMSUNG GALAXY A24 4GB+128GB,SAMSUNG GALAXY A24 4GB+128GB,SAMSUNG,MIDHIGH,EOL
PA,"759",IPHONE 14 PRO MAX 256GB,IPHONE 14 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"729",IPHONE 14 256GB,IPHONE 14 256GB,APPLE,FLAGSHIP,EOL
PA,"735",ZTE BLADE V40 VITA,ZTE BLADE V40 VITA,ZTE,MID,EOL
PA,"764",IPHONE 14 256GB,IPHONE 14 256GB,APPLE,FLAGSHIP,EOL
PA,"1626",ZTE BLADE A33 CORE 2GB+32GB,ZTE BLADE A33 CORE 2GB+32GB,ZTE,MIDLOW,EOL
PA,"1582",HONOR X8B 8GB+256GB,HONOR X8B 8GB+256GB,HONOR,MIDHIGH,EOL
PA,"1584",HONOR X8B 8GB+256GB,HONOR X8B 8GB+256GB,HONOR,MIDHIGH,EOL
PA,"1625",SAMSUNG GALAXY A25 5G 6GB+128GB,SAMSUNG GALAXY A25 5G 6GB+128GB,SAMSUNG,MIDHIGH,EOL
PA,"1373",SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG,HIGH,EOL
PA,"549",SAMSUNG GALAXY A33 6GB+128GB,SAMSUNG GALAXY A33 6GB+128GB,SAMSUNG,HIGH,EOL
PA,"707",HONOR X6S 4+128GB,HONOR X6S 4+128GB,HONOR,MID,EOL
PA,"708",HONOR X6S 4+128GB,HONOR X6S 4+128GB,HONOR,MID,EOL
PA,"747",IPHONE 14 PRO 256GB,IPHONE 14 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"710",HONOR X6 4GB+64GB,HONOR X6 4GB+64GB,HONOR,MID,EOL
PA,"1590",SAMSUNG GALAXY A05 4GB+128GB,SAMSUNG GALAXY A05 4GB+128GB,SAMSUNG,MID,EOL
PA,"511",SAMSUNG GALAXY S22 PLUS 8+256GB,SAMSUNG GALAXY S22 PLUS 8+256GB,SAMSUNG,FLAGSHIP,EOL
PA,"751",IPHONE 14 PRO 256GB,IPHONE 14 PRO 256GB,APPLE,FLAGSHIP,EOL
