"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
NI,2488,SAMSUNG GALAXY A7 2017 LTE,SAMSUNG GALAXY A7 2017 BLACK DS LTE,SAMSUNG,HIGH,OBSOLETE
NI,2490,SAMSUNG GALAXY J5 PRO 2017 DS LTE,SAMSUNG G. J5 PRO2017 BLUE/SILVER DS LTE,SAMSUNG,MID HIGH,OBSOLETE
NI,2491,BMOBILE K355 DS,BMOBILE K355 DS SS,BMOBILE,FEATURE PHONE,OBSOLETE
NI,2492,MOTOROLA Z 2 PLAY LTE,MOTOROLA Z 2 PLAY DS LTE,MOTOROLA,HIGH,OBSOLETE
NI,2493,BMOBILE AX681,BMOBILE AX681 BLUE DS,BMOBILE,ENTRY,OBSOLETE
NI,2494,BMOBILE AX681,KIT BMOBILE AX681 BLUE DS,BMOBILE,ENTRY,OBSOLETE
NI,2495,MTT S25,MTT S25 BLACK/ORANGE,MTT,FEATURE PHONE,OBSOLETE
NI,2496,MTT S25,KIT MTT S25 BLACK/ORANGE,MTT,FEATURE PHONE,OBSOLETE
NI,2497,MTT S25,MTT S25 BLACK/BLUE DS,MTT,FEATURE PHONE,OBSOLETE
NI,2498,MTT S25,KIT MTT S25 BLACK/BLUE DS,MTT,FEATURE PHONE,OBSOLETE
NI,2499,MTT M14,MTT M14D BLACK/BLUE,MTT,FEATURE PHONE,OBSOLETE
NI,2501,MTT M14,MTT M14D BLACK,MTT,FEATURE PHONE,OBSOLETE
NI,2503,MTT M14,MTT M14D BLACK SS,MTT,FEATURE PHONE,OBSOLETE
NI,2505,MTT S25,MTT S25 BLACK/BLUE SS,MTT,FEATURE PHONE,OBSOLETE
NI,2506,MTT M14,MTT M14D BLACK/BLUE SS,MTT,FEATURE PHONE,OBSOLETE
NI,2507,SAMSUNG GALAXY S9 PLUS 128GB LTE,SAMSUNG G. S9 PLUS BLACK 128GB  DS LTE,SAMSUNG,FLAGSHIP,OBSOLETE
NI,2509,SAMSUNG GALAXY S9 DS 128GB LTE,SAMSUNG GALAXY S9 BLACK 128GB  DS LTE,SAMSUNG,ULTRA HIGH,OBSOLETE
NI,2510,SAMSUNG GALAXY S9 DS 128GB LTE,SAMSUNG GALAXY S9 PURPLE 128GB  DS LTE,SAMSUNG,ULTRA HIGH,OBSOLETE
NI,2511,SAMSUNG GALAXY J2 PRO DS LTE,SAMSUNG GALAXY J2 PRO PINK DS LTE,SAMSUNG,MID,OBSOLETE
NI,2512,SKY 55M DS LTE,SKY 55M BLACK DS LTE,SKY,LOW,OBSOLETE
NI,2514,SKY 55M DS LTE,SKY 55M GOLD DS LTE,SKY,LOW,OBSOLETE
NI,2516,SKY 55M DS LTE,KIT SKY 55M BLUE DS LTE,SKY,LOW,OBSOLETE
NI,2518,SKY 55M DS LTE,SKY 55M BLACK DS S.S. LTE,SKY,LOW,OBSOLETE
NI,2519,SKY 55M DS LTE,SKY 55M BLUE DS S.S. LTE,SKY,LOW,OBSOLETE
NI,2521,IPHONE 8 PLUS 256GB LTE,IPHONE 8 PLUS SPACE GRAY 256GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2523,IPHONE 8 PLUS 256GB LTE,IPHONE 8 PLUS SILVER 256GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2524,BMOBILE AX1073,BMOBILE AX1073 GRAY DS LTE,BMOBILE,LOW,OBSOLETE
NI,2526,BMOBILE AX1073,BMOBILE AX1073 GOLD DS LTE,BMOBILE,LOW,OBSOLETE
NI,2528,dicO HD ZAPPER RF,DECO HD ZAPPER RF,KAON,FEATURE PHONE,OBSOLETE
NI,2531,HUAWEI MATE 10 LITE LTE,HUAWEI MATE 10 LITE GOLD DS LTE,HUAWEI,HIGH,OBSOLETE
NI,2532,HUAWEI MATE 10 LITE LTE,HUAWEI MATE 10 LITE BLUE DS LTE,HUAWEI,HIGH,OBSOLETE
NI,2537,HUAWEI P20 LITE,HUAWEI P20 LITE BLACK DS LTE,HUAWEI,MID HIGH,OBSOLETE
NI,2541,SAMSUNG GALAXY S9 DS 128GB LTE,SAMSUNG GALAXY S9 BLUE DS 128GB LTE,SAMSUNG,ULTRA HIGH,OBSOLETE
NI,2542,IPHONE 8 64GB LTE,KIT IPHONE 8 SILVER 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2543,IPHONE 8 64GB LTE,KIT IPHONE 8 GOLD 64GB LTE,APPLE,FLAGSHIP,OBSOLETE
NI,2545,LG STYLUS 3 LTE,KIT LG STYLUS 3 DS LTE,LG,FEATURE PHONE,OBSOLETE
NI,2547,HUAWEI Y6 2018 DS LTE,HUAWEI Y6 2018 16GB BLACK DS LTE,HUAWEI,MID,OBSOLETE
NI,2548,HUAWEI Y6 2018 DS LTE,HUAWEI Y6 2018 16GB GOLD DS LTE,HUAWEI,MID,OBSOLETE
NI,2550,SKY F1M DS,SKY F1M BLUE DS,SKY,FEATURE PHONE,OBSOLETE
NI,2552,SAMSUNG GALAXY A8 2018 32GB LTE,SAMSUNG GALAXY A8 2018 GRAY 32GB DS LTE,SAMSUNG,HIGH,OBSOLETE
